human,mouse,DB
ADAM29,Adam29,Jax/Ensembl/Biomart
ADAM30,Adam30,Jax/Ensembl/Biomart
ADAM32,Adam32,Jax/Ensembl/Biomart
ADAM33,Adam33,Jax/Ensembl/Biomart
ADAM7,Adam7,Jax/Ensembl/Biomart
ADAM8,Adam8,Jax/Ensembl/Biomart
ADAM9,Adam9,Jax/Ensembl/Biomart
ADAMDEC1,Adamdec1,Jax/Ensembl/Biomart
ADAMTS1,Adamts1,Jax/Ensembl/Biomart
ADAMTS10,Adamts10,Jax/Ensembl/Biomart
ADAMTS12,Adamts12,Jax/Ensembl/Biomart
ADAMTS13,Adamts13,Jax/Ensembl/Biomart
ADAMTS14,Adamts14,Jax/Ensembl/Biomart
ADAMTS15,Adamts15,Jax/Ensembl/Biomart
ADAMTS16,Adamts16,Jax/Ensembl/Biomart
ADAMTS17,Adamts17,Jax/Ensembl/Biomart
ADAMTS18,Adamts18,Jax/Ensembl/Biomart
ADAMTS19,Adamts19,Jax/Ensembl/Biomart
ADAMTS2,Adamts2,Jax/Ensembl/Biomart
ADAMTS20,Adamts20,Jax/Ensembl/Biomart
ADAMTS3,Adamts3,Jax/Ensembl/Biomart
ADAMTS4,Adamts4,Jax/Ensembl/Biomart
ADAMTS5,Adamts5,Jax/Ensembl/Biomart
ADAMTS6,Adamts6,Jax/Ensembl/Biomart
ADAMTS7,Adamts7,Jax/Ensembl/Biomart
ADAMTS8,Adamts8,Jax/Ensembl/Biomart
ADAMTS9,Adamts9,Jax/Ensembl/Biomart
ADAMTSL1,Adamtsl1,Jax/Ensembl/Biomart
ADAMTSL2,Adamtsl2,Jax/Ensembl/Biomart
ADAMTSL3,Adamtsl3,Jax/Ensembl/Biomart
ADAMTSL4,Adamtsl4,Jax/Ensembl/Biomart
ADAMTSL5,Adamtsl5,Jax/Ensembl/Biomart
ADAP1,Adap1,Jax/Ensembl/Biomart
ADAP2,Adap2,Jax/Ensembl/Biomart
ADAR,Adar,Jax/Ensembl/Biomart
ADARB1,Adarb1,Jax/Ensembl/Biomart
ADARB2,Adarb2,Jax/Ensembl/Biomart
ADAT1,Adat1,Jax/Ensembl/Biomart
ADAT2,Adat2,Jax/Ensembl/Biomart
ADAT3,Adat3,Jax/Ensembl/Biomart
ADCK1,Adck1,Jax/Ensembl/Biomart
ADCK2,Adck2,Jax/Ensembl/Biomart
ADCK5,Adck5,Jax/Ensembl/Biomart
ADCY1,Adcy1,Jax/Ensembl/Biomart
ADCY10,Adcy10,Jax/Ensembl/Biomart
ADCY2,Adcy2,Jax/Ensembl/Biomart
ADCY3,Adcy3,Jax/Ensembl/Biomart
ADCY4,Adcy4,Jax/Ensembl/Biomart
ADCY5,Adcy5,Jax/Ensembl/Biomart
ADCY6,Adcy6,Jax/Ensembl/Biomart
ADCY7,Adcy7,Jax/Ensembl/Biomart
ADCY8,Adcy8,Jax/Ensembl/Biomart
ADCY9,Adcy9,Jax/Ensembl/Biomart
ADCYAP1,Adcyap1,Jax/Ensembl/Biomart
ADCYAP1R1,Adcyap1r1,Jax/Ensembl/Biomart
ADD1,Add1,Jax/Ensembl/Biomart
ADD2,Add2,Jax/Ensembl/Biomart
ADD3,Add3,Jax/Ensembl/Biomart
ADGB,Adgb,Jax/Ensembl/Biomart
ADGRA1,Adgra1,Jax/Ensembl/Biomart
ADGRA2,Adgra2,Jax/Ensembl/Biomart
ADGRA3,Adgra3,Jax/Ensembl/Biomart
ADGRB1,Adgrb1,Jax/Ensembl/Biomart
ADGRB2,Adgrb2,Jax/Ensembl/Biomart
ADGRB3,Adgrb3,Jax/Ensembl/Biomart
ADGRD1,Adgrd1,Jax/Ensembl/Biomart
ADGRE1,Adgre1,Jax/Ensembl/Biomart
ADGRE5,Adgre5,Jax/Ensembl/Biomart
ADGRF1,Adgrf1,Jax/Ensembl/Biomart
ADGRF2,Adgrf2,Jax/Ensembl/Biomart
ADGRF3,Adgrf3,Jax/Ensembl/Biomart
ADGRF4,Adgrf4,Jax/Ensembl/Biomart
ADGRF5,Adgrf5,Jax/Ensembl/Biomart
ADGRG1,Adgrg1,Jax/Ensembl/Biomart
ADGRG2,Adgrg2,Jax/Ensembl/Biomart
ADGRG3,Adgrg3,Jax/Ensembl/Biomart
ADGRG4,Adgrg4,Jax/Ensembl/Biomart
ADGRG5,Adgrg5,Jax/Ensembl/Biomart
ADGRG6,Adgrg6,Jax/Ensembl/Biomart
ADGRG7,Adgrg7,Jax/Ensembl/Biomart
ADGRL1,Adgrl1,Jax/Ensembl/Biomart
ADGRL2,Adgrl2,Jax/Ensembl/Biomart
ADGRL3,Adgrl3,Jax/Ensembl/Biomart
ADGRL4,Adgrl4,Jax/Ensembl/Biomart
ADGRV1,Adgrv1,Jax/Ensembl/Biomart
ADH1C,Adh1,Jax/Ensembl/Biomart
ADH4,Adh4,Jax/Ensembl/Biomart
ADH5,Adh5,Jax/Ensembl/Biomart
ADH7,Adh7,Jax/Ensembl/Biomart
ADHFE1,Adhfe1,Jax/Ensembl/Biomart
ADI1,Adi1,Jax/Ensembl/Biomart
ADIPOQ,Adipoq,Jax/Ensembl/Biomart
ADIPOR1,Adipor1,Jax/Ensembl/Biomart
ADIPOR2,Adipor2,Jax/Ensembl/Biomart
ADK,Adk,Jax/Ensembl/Biomart
ADM,Adm,Jax/Ensembl/Biomart
ADM2,Adm2,Jax/Ensembl/Biomart
ADNP,Adnp,Jax/Ensembl/Biomart
ADNP2,Adnp2,Jax/Ensembl/Biomart
ADO,Ado,Jax/Ensembl/Biomart
ADORA1,Adora1,Jax/Ensembl/Biomart
ADORA2A,Adora2a,Jax/Ensembl/Biomart
ADORA2B,Adora2b,Jax/Ensembl/Biomart
ADORA3,Adora3,Jax/Ensembl/Biomart
ADPGK,Adpgk,Jax/Ensembl/Biomart
ADPRH,Adprh,Jax/Ensembl/Biomart
ADPRHL1,Adprhl1,Jax/Ensembl/Biomart
ADPRHL2,Adprhl2,Jax/Ensembl/Biomart
ADPRM,Adprm,Jax/Ensembl/Biomart
ADRA1A,Adra1a,Jax/Ensembl/Biomart
ADRA1B,Adra1b,Jax/Ensembl/Biomart
ADRA1D,Adra1d,Jax/Ensembl/Biomart
ADRA2A,Adra2a,Jax/Ensembl/Biomart
ADRA2B,Adra2b,Jax/Ensembl/Biomart
ADRA2C,Adra2c,Jax/Ensembl/Biomart
ADRB1,Adrb1,Jax/Ensembl/Biomart
ADRB2,Adrb2,Jax/Ensembl/Biomart
ADRB3,Adrb3,Jax/Ensembl/Biomart
ADRM1,Adrm1,Jax/Ensembl/Biomart
ADSL,Adsl,Jax/Ensembl/Biomart
ADSS,Adss,Jax/Ensembl/Biomart
ADSSL1,Adssl1,Jax/Ensembl/Biomart
ADTRP,Adtrp,Jax/Ensembl/Biomart
AEBP1,Aebp1,Jax/Ensembl/Biomart
AEBP2,Aebp2,Jax/Ensembl/Biomart
AEN,Aen,Jax/Ensembl/Biomart
AFAP1,Afap1,Jax/Ensembl/Biomart
AFAP1L1,Afap1l1,Jax/Ensembl/Biomart
AFAP1L2,Afap1l2,Jax/Ensembl/Biomart
AFDN,Afdn,Jax/Ensembl/Biomart
AFF1,Aff1,Jax/Ensembl/Biomart
AFF3,Aff3,Jax/Ensembl/Biomart
AFF4,Aff4,Jax/Ensembl/Biomart
AFG1L,Afg1l,Jax/Ensembl/Biomart
AFG3L2,Afg3l2,Jax/Ensembl/Biomart
AFM,Afm,Jax/Ensembl/Biomart
AFMID,Afmid,Jax/Ensembl/Biomart
AFP,Afp,Jax/Ensembl/Biomart
AFTPH,Aftph,Jax/Ensembl/Biomart
AGA,Aga,Jax/Ensembl/Biomart
AGAP1,Agap1,Jax/Ensembl/Biomart
AGAP2,Agap2,Jax/Ensembl/Biomart
AGAP3,Agap3,Jax/Ensembl/Biomart
AGBL1,Agbl1,Jax/Ensembl/Biomart
AGBL2,Agbl2,Jax/Ensembl/Biomart
AGBL3,Agbl3,Jax/Ensembl/Biomart
AGBL4,Agbl4,Jax/Ensembl/Biomart
AGBL5,Agbl5,Jax/Ensembl/Biomart
AGER,Ager,Jax/Ensembl/Biomart
AGFG1,Agfg1,Jax/Ensembl/Biomart
AGFG2,Agfg2,Jax/Ensembl/Biomart
AGGF1,Aggf1,Jax/Ensembl/Biomart
AGK,Agk,Jax/Ensembl/Biomart
AGL,Agl,Jax/Ensembl/Biomart
AGMAT,Agmat,Jax/Ensembl/Biomart
AGMO,Agmo,Jax/Ensembl/Biomart
AGO1,Ago1,Jax/Ensembl/Biomart
AGO2,Ago2,Jax/Ensembl/Biomart
AGO3,Ago3,Jax/Ensembl/Biomart
AGO4,Ago4,Jax/Ensembl/Biomart
AGPAT1,Agpat1,Jax/Ensembl/Biomart
AGPAT2,Agpat2,Jax/Ensembl/Biomart
AGPAT3,Agpat3,Jax/Ensembl/Biomart
AGPAT4,Agpat4,Jax/Ensembl/Biomart
AGPAT5,Agpat5,Jax/Ensembl/Biomart
AGPS,Agps,Jax/Ensembl/Biomart
AGR2,Agr2,Jax/Ensembl/Biomart
AGR3,Agr3,Jax/Ensembl/Biomart
AGRN,Agrn,Jax/Ensembl/Biomart
AGRP,Agrp,Jax/Ensembl/Biomart
AGT,Agt,Jax/Ensembl/Biomart
AGTPBP1,Agtpbp1,Jax/Ensembl/Biomart
AGTR1,Agtr1a,Jax/Ensembl/Biomart
AGTR2,Agtr2,Jax/Ensembl/Biomart
AGTRAP,Agtrap,Jax/Ensembl/Biomart
AGXT,Agxt,Jax/Ensembl/Biomart
AGXT2,Agxt2,Jax/Ensembl/Biomart
AHCTF1,Ahctf1,Jax/Ensembl/Biomart
AHCY,Ahcy,Jax/Ensembl/Biomart
AHCYL1,Ahcyl1,Jax/Ensembl/Biomart
AHCYL2,Ahcyl2,Jax/Ensembl/Biomart
AHDC1,Ahdc1,Jax/Ensembl/Biomart
AHI1,Ahi1,Jax/Ensembl/Biomart
AHNAK,Ahnak,Jax/Ensembl/Biomart
AHNAK2,Ahnak2,Jax/Ensembl/Biomart
AHR,Ahr,Jax/Ensembl/Biomart
AHRR,Ahrr,Jax/Ensembl/Biomart
AHSA1,Ahsa1,Jax/Ensembl/Biomart
AHSG,Ahsg,Jax/Ensembl/Biomart
AICDA,Aicda,Jax/Ensembl/Biomart
AIDA,Aida,Jax/Ensembl/Biomart
AIF1,Aif1,Jax/Ensembl/Biomart
AIF1L,Aif1l,Jax/Ensembl/Biomart
AIFM1,Aifm1,Jax/Ensembl/Biomart
AIFM2,Aifm2,Jax/Ensembl/Biomart
AIFM3,Aifm3,Jax/Ensembl/Biomart
AIG1,Aig1,Jax/Ensembl/Biomart
AIM2,Aim2,Jax/Ensembl/Biomart
AIMP1,Aimp1,Jax/Ensembl/Biomart
AIMP2,Aimp2,Jax/Ensembl/Biomart
AIP,Aip,Jax/Ensembl/Biomart
AIPL1,Aipl1,Jax/Ensembl/Biomart
AIRE,Aire,Jax/Ensembl/Biomart
AJAP1,Ajap1,Jax/Ensembl/Biomart
AJUBA,Ajuba,Jax/Ensembl/Biomart
AK1,Ak1,Jax/Ensembl/Biomart
AK2,Ak2,Jax/Ensembl/Biomart
AK3,Ak3,Jax/Ensembl/Biomart
AK4,Ak4,Jax/Ensembl/Biomart
AK5,Ak5,Jax/Ensembl/Biomart
AK7,Ak7,Jax/Ensembl/Biomart
AK8,Ak8,Jax/Ensembl/Biomart
AK9,Ak9,Jax/Ensembl/Biomart
AKAIN1,Akain1,Jax/Ensembl/Biomart
AKAP1,Akap1,Jax/Ensembl/Biomart
AKAP10,Akap10,Jax/Ensembl/Biomart
AKAP11,Akap11,Jax/Ensembl/Biomart
AKAP12,Akap12,Jax/Ensembl/Biomart
AKAP13,Akap13,Jax/Ensembl/Biomart
AKAP14,Akap14,Jax/Ensembl/Biomart
AKAP2,Akap2,Jax/Ensembl/Biomart
AKAP3,Akap3,Jax/Ensembl/Biomart
AKAP4,Akap4,Jax/Ensembl/Biomart
AKAP5,Akap5,Jax/Ensembl/Biomart
AKAP6,Akap6,Jax/Ensembl/Biomart
AKAP7,Akap7,Jax/Ensembl/Biomart
AKAP8,Akap8,Jax/Ensembl/Biomart
AKAP8L,Akap8l,Jax/Ensembl/Biomart
AKIP1,Akip1,Jax/Ensembl/Biomart
AKIRIN1,Akirin1,Jax/Ensembl/Biomart
AKIRIN2,Akirin2,Jax/Ensembl/Biomart
AKNA,Akna,Jax/Ensembl/Biomart
AKNAD1,Aknad1,Jax/Ensembl/Biomart
AKR1A1,Akr1a1,Jax/Ensembl/Biomart
AKR1B1,Akr1b3,Jax/Ensembl/Biomart
AKR1B10,Akr1b8,Jax/Ensembl/Biomart
AKR1D1,Akr1d1,Jax/Ensembl/Biomart
AKR1E2,Akr1e1,Jax/Ensembl/Biomart
AKT1,Akt1,Jax/Ensembl/Biomart
AKT1S1,Akt1s1,Jax/Ensembl/Biomart
AKT2,Akt2,Jax/Ensembl/Biomart
AKT3,Akt3,Jax/Ensembl/Biomart
AKTIP,Aktip,Jax/Ensembl/Biomart
ALAD,Alad,Jax/Ensembl/Biomart
ALAS1,Alas1,Jax/Ensembl/Biomart
ALAS2,Alas2,Jax/Ensembl/Biomart
ALB,Alb,Jax/Ensembl/Biomart
ALCAM,Alcam,Jax/Ensembl/Biomart
ALDH16A1,Aldh16a1,Jax/Ensembl/Biomart
ALDH18A1,Aldh18a1,Jax/Ensembl/Biomart
ALDH1A1,Aldh1a1,Jax/Ensembl/Biomart
ALDH1A2,Aldh1a2,Jax/Ensembl/Biomart
ALDH1A3,Aldh1a3,Jax/Ensembl/Biomart
ALDH1B1,Aldh1b1,Jax/Ensembl/Biomart
ALDH1L1,Aldh1l1,Jax/Ensembl/Biomart
ALDH1L2,Aldh1l2,Jax/Ensembl/Biomart
ALDH2,Aldh2,Jax/Ensembl/Biomart
ALDH3A1,Aldh3a1,Jax/Ensembl/Biomart
ALDH3A2,Aldh3a2,Jax/Ensembl/Biomart
ALDH3B1,Aldh3b1,Jax/Ensembl/Biomart
ALDH4A1,Aldh4a1,Jax/Ensembl/Biomart
ALDH5A1,Aldh5a1,Jax/Ensembl/Biomart
ALDH6A1,Aldh6a1,Jax/Ensembl/Biomart
ALDH7A1,Aldh7a1,Jax/Ensembl/Biomart
ALDH8A1,Aldh8a1,Jax/Ensembl/Biomart
ALDH9A1,Aldh9a1,Jax/Ensembl/Biomart
ALDOA,Aldoa,Jax/Ensembl/Biomart
ALDOB,Aldob,Jax/Ensembl/Biomart
ALDOC,Aldoc,Jax/Ensembl/Biomart
ALG1,Alg1,Jax/Ensembl/Biomart
ALG10,Alg10b,Jax/Ensembl/Biomart
ALG11,Alg11,Jax/Ensembl/Biomart
ALG12,Alg12,Jax/Ensembl/Biomart
ALG14,Alg14,Jax/Ensembl/Biomart
ALG2,Alg2,Jax/Ensembl/Biomart
ALG3,Alg3,Jax/Ensembl/Biomart
